step,task_number,task_name,json_em,bleu_review,bleu_translate,em_sentiment,em_emotion,em_topic,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,97.8,47.18048881309018,,,,,,500,489
Step 1,2,json_translation,86.8,29.989772655061277,,,,,,500,434
Step 1,3,json_translation_sentiment,97.0,68.65838285458922,,,,,,500,485
Step 1,4,json_translation_sentiment_emotion,97.0,71.32066937405997,,,,,,500,485
Step 1,5,json_translation_sentiment_emotion_topic,97.2,76.48220022418491,,,,,,500,486
Step 1,6,json_translation_sentiment_emotion_topic_ner,91.60000000000001,81.36317681158631,,,,,,500,458
Step 2,2,json_translation,86.8,29.989772655061277,15.042853643121742,,,,,500,434
Step 2,3,json_translation_sentiment,97.0,68.65838285458922,14.683779726663309,,,,,500,485
Step 2,4,json_translation_sentiment_emotion,97.0,71.32066937405997,13.096915210950256,,,,,500,485
Step 2,5,json_translation_sentiment_emotion_topic,97.2,76.48220022418491,13.26495824366403,,,,,500,486
Step 2,6,json_translation_sentiment_emotion_topic_ner,91.60000000000001,81.36317681158631,13.871363047343987,,,,,500,458
Step 3,3,json_translation_sentiment,97.0,68.65838285458922,14.683779726663309,87.42268041237114,,,,500,485
Step 3,4,json_translation_sentiment_emotion,97.0,71.32066937405997,13.096915210950256,87.21649484536083,,,,500,485
Step 3,5,json_translation_sentiment_emotion_topic,97.2,76.48220022418491,13.26495824366403,87.65432098765432,,,,500,486
Step 3,6,json_translation_sentiment_emotion_topic_ner,91.60000000000001,81.36317681158631,13.871363047343987,85.1528384279476,,,,500,458
Step 4,4,json_translation_sentiment_emotion,97.0,71.32066937405997,13.096915210950256,87.21649484536083,10.721649484536082,,,500,485
Step 4,5,json_translation_sentiment_emotion_topic,97.2,76.48220022418491,13.26495824366403,87.65432098765432,3.292181069958848,,,500,486
Step 4,6,json_translation_sentiment_emotion_topic_ner,91.60000000000001,81.36317681158631,13.871363047343987,85.1528384279476,4.148471615720524,,,500,458
Step 5,5,json_translation_sentiment_emotion_topic,97.2,76.48220022418491,13.26495824366403,87.65432098765432,3.292181069958848,17.48971193415638,,500,486
Step 5,6,json_translation_sentiment_emotion_topic_ner,91.60000000000001,81.36317681158631,13.871363047343987,85.1528384279476,4.148471615720524,8.078602620087336,,500,458
Step 6,6,json_translation_sentiment_emotion_topic_ner,91.60000000000001,81.36317681158631,13.871363047343987,85.1528384279476,4.148471615720524,8.078602620087336,32.64565467873464,500,458
