step,task_number,task_name,json_em,bleu_review,bleu_translate,em_sentiment,em_emotion,em_topic,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,32.0,60.38568231957554,,,,,,500,160
Step 1,2,json_translation,48.6,29.234019370932586,,,,,,500,243
Step 1,3,json_translation_sentiment,61.8,46.482093499962915,,,,,,500,309
Step 1,4,json_translation_sentiment_emotion,67.2,37.97387895402845,,,,,,500,336
Step 1,5,json_translation_sentiment_emotion_topic,65.4,43.122823260910764,,,,,,500,327
Step 1,6,json_translation_sentiment_emotion_topic_ner,70.6,34.97490023682837,,,,,,500,353
Step 2,2,json_translation,48.6,29.234019370932586,11.365433459903196,,,,,500,243
Step 2,3,json_translation_sentiment,61.8,46.482093499962915,11.093139362501946,,,,,500,309
Step 2,4,json_translation_sentiment_emotion,67.2,37.97387895402845,10.770792251627764,,,,,500,336
Step 2,5,json_translation_sentiment_emotion_topic,65.4,43.122823260910764,10.445810500260148,,,,,500,327
Step 2,6,json_translation_sentiment_emotion_topic_ner,70.6,34.97490023682837,9.978372513744024,,,,,500,353
Step 3,3,json_translation_sentiment,61.8,46.482093499962915,11.093139362501946,87.05501618122977,,,,500,309
Step 3,4,json_translation_sentiment_emotion,67.2,37.97387895402845,10.770792251627764,85.71428571428571,,,,500,336
Step 3,5,json_translation_sentiment_emotion_topic,65.4,43.122823260910764,10.445810500260148,86.54434250764525,,,,500,327
Step 3,6,json_translation_sentiment_emotion_topic_ner,70.6,34.97490023682837,9.978372513744024,86.11898016997166,,,,500,353
Step 4,4,json_translation_sentiment_emotion,67.2,37.97387895402845,10.770792251627764,85.71428571428571,41.07142857142857,,,500,336
Step 4,5,json_translation_sentiment_emotion_topic,65.4,43.122823260910764,10.445810500260148,86.54434250764525,38.226299694189606,,,500,327
Step 4,6,json_translation_sentiment_emotion_topic_ner,70.6,34.97490023682837,9.978372513744024,86.11898016997166,29.178470254957507,,,500,353
Step 5,5,json_translation_sentiment_emotion_topic,65.4,43.122823260910764,10.445810500260148,86.54434250764525,38.226299694189606,52.59938837920489,,500,327
Step 5,6,json_translation_sentiment_emotion_topic_ner,70.6,34.97490023682837,9.978372513744024,86.11898016997166,29.178470254957507,44.19263456090651,,500,353
Step 6,6,json_translation_sentiment_emotion_topic_ner,70.6,34.97490023682837,9.978372513744024,86.11898016997166,29.178470254957507,44.19263456090651,41.73648510799203,500,353
