step,task_number,task_name,json_em,bleu_review,bleu_translate,em_sentiment,em_emotion,em_topic,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,99.2,42.49473805071661,,,,,,500,496
Step 1,2,json_translation,89.8,93.92654580146228,,,,,,500,449
Step 1,3,json_translation_sentiment,85.0,93.2064230564351,,,,,,500,425
Step 1,4,json_translation_sentiment_emotion,96.0,92.39062834404025,,,,,,500,480
Step 1,5,json_translation_sentiment_emotion_topic,97.2,93.62346061708185,,,,,,500,486
Step 1,6,json_translation_sentiment_emotion_topic_ner,94.8,93.56243474988761,,,,,,500,474
Step 2,2,json_translation,89.8,93.92654580146228,30.294556322942263,,,,,500,449
Step 2,3,json_translation_sentiment,85.0,93.2064230564351,29.054759184822796,,,,,500,425
Step 2,4,json_translation_sentiment_emotion,96.0,92.39062834404025,28.302132289217038,,,,,500,480
Step 2,5,json_translation_sentiment_emotion_topic,97.2,93.62346061708185,28.699296045976023,,,,,500,486
Step 2,6,json_translation_sentiment_emotion_topic_ner,94.8,93.56243474988761,28.101418825047347,,,,,500,474
Step 3,3,json_translation_sentiment,85.0,93.2064230564351,29.054759184822796,93.41176470588235,,,,500,425
Step 3,4,json_translation_sentiment_emotion,96.0,92.39062834404025,28.302132289217038,91.25,,,,500,480
Step 3,5,json_translation_sentiment_emotion_topic,97.2,93.62346061708185,28.699296045976023,92.38683127572016,,,,500,486
Step 3,6,json_translation_sentiment_emotion_topic_ner,94.8,93.56243474988761,28.101418825047347,93.0379746835443,,,,500,474
Step 4,4,json_translation_sentiment_emotion,96.0,92.39062834404025,28.302132289217038,91.25,50.0,,,500,480
Step 4,5,json_translation_sentiment_emotion_topic,97.2,93.62346061708185,28.699296045976023,92.38683127572016,27.36625514403292,,,500,486
Step 4,6,json_translation_sentiment_emotion_topic_ner,94.8,93.56243474988761,28.101418825047347,93.0379746835443,8.649789029535865,,,500,474
Step 5,5,json_translation_sentiment_emotion_topic,97.2,93.62346061708185,28.699296045976023,92.38683127572016,27.36625514403292,63.580246913580254,,500,486
Step 5,6,json_translation_sentiment_emotion_topic_ner,94.8,93.56243474988761,28.101418825047347,93.0379746835443,8.649789029535865,46.62447257383967,,500,474
Step 6,6,json_translation_sentiment_emotion_topic_ner,94.8,93.56243474988761,28.101418825047347,93.0379746835443,8.649789029535865,46.62447257383967,46.810963770356565,500,474
