step,task_number,task_name,json_em,bleu_translate,em_sentiment,em_emotion,em_topic,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,99.0,,,,,,500,
Step 1,2,json_translation,96.39999999999999,,,,,,500,
Step 1,3,json_translation_sentiment,95.6,,,,,,500,
Step 1,4,json_translation_sentiment_emotion,96.39999999999999,,,,,,500,
Step 1,5,json_translation_sentiment_emotion_topic,96.39999999999999,,,,,,500,
Step 1,6,json_translation_sentiment_emotion_topic_ner,96.39999999999999,,,,,,500,
Step 2,2,json_translation,96.39999999999999,38.729265502794235,,,,,500,482.0
Step 2,3,json_translation_sentiment,95.6,38.49393497601179,,,,,500,478.0
Step 2,4,json_translation_sentiment_emotion,96.39999999999999,38.59113625209294,,,,,500,482.0
Step 2,5,json_translation_sentiment_emotion_topic,96.39999999999999,38.2713112440752,,,,,500,482.0
Step 2,6,json_translation_sentiment_emotion_topic_ner,96.39999999999999,38.09200570541834,,,,,500,482.0
Step 3,3,json_translation_sentiment,95.6,38.49393497601179,92.46861924686193,,,,500,478.0
Step 3,4,json_translation_sentiment_emotion,96.39999999999999,38.59113625209294,90.66390041493776,,,,500,482.0
Step 3,5,json_translation_sentiment_emotion_topic,96.39999999999999,38.2713112440752,91.70124481327801,,,,500,482.0
Step 3,6,json_translation_sentiment_emotion_topic_ner,96.39999999999999,38.09200570541834,91.70124481327801,,,,500,482.0
Step 4,4,json_translation_sentiment_emotion,96.39999999999999,38.59113625209294,90.66390041493776,45.850622406639005,,,500,482.0
Step 4,5,json_translation_sentiment_emotion_topic,96.39999999999999,38.2713112440752,91.70124481327801,45.643153526970956,,,500,482.0
Step 4,6,json_translation_sentiment_emotion_topic_ner,96.39999999999999,38.09200570541834,91.70124481327801,42.531120331950206,,,500,482.0
Step 5,5,json_translation_sentiment_emotion_topic,96.39999999999999,38.2713112440752,91.70124481327801,45.643153526970956,61.20331950207469,,500,482.0
Step 5,6,json_translation_sentiment_emotion_topic_ner,96.39999999999999,38.09200570541834,91.70124481327801,42.531120331950206,57.46887966804979,,500,482.0
Step 6,6,json_translation_sentiment_emotion_topic_ner,96.39999999999999,38.09200570541834,91.70124481327801,42.531120331950206,57.46887966804979,66.53676348032675,500,482.0
