step,task_number,task_name,json_em,bleu_review,bleu_translate,em_sentiment,em_emotion,em_topic,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,92.60000000000001,89.36767977555989,,,,,,500,463
Step 1,2,json_translation,75.6,18.765710651865,,,,,,500,378
Step 1,3,json_translation_sentiment,76.8,94.91414582164263,,,,,,500,384
Step 1,4,json_translation_sentiment_emotion,81.39999999999999,93.93117225815926,,,,,,500,407
Step 1,5,json_translation_sentiment_emotion_topic,77.8,94.14240774390515,,,,,,500,389
Step 1,6,json_translation_sentiment_emotion_topic_ner,88.2,86.03723794494006,,,,,,500,441
Step 2,2,json_translation,75.6,18.765710651865,12.164575753506934,,,,,500,378
Step 2,3,json_translation_sentiment,76.8,94.91414582164263,31.635222879608676,,,,,500,384
Step 2,4,json_translation_sentiment_emotion,81.39999999999999,93.93117225815926,29.500577767097884,,,,,500,407
Step 2,5,json_translation_sentiment_emotion_topic,77.8,94.14240774390515,28.434955191188056,,,,,500,389
Step 2,6,json_translation_sentiment_emotion_topic_ner,88.2,86.03723794494006,28.788543083422073,,,,,500,441
Step 3,3,json_translation_sentiment,76.8,94.91414582164263,31.635222879608676,92.96875,,,,500,384
Step 3,4,json_translation_sentiment_emotion,81.39999999999999,93.93117225815926,29.500577767097884,92.87469287469288,,,,500,407
Step 3,5,json_translation_sentiment_emotion_topic,77.8,94.14240774390515,28.434955191188056,91.77377892030847,,,,500,389
Step 3,6,json_translation_sentiment_emotion_topic_ner,88.2,86.03723794494006,28.788543083422073,91.83673469387756,,,,500,441
Step 4,4,json_translation_sentiment_emotion,81.39999999999999,93.93117225815926,29.500577767097884,92.87469287469288,59.21375921375921,,,500,407
Step 4,5,json_translation_sentiment_emotion_topic,77.8,94.14240774390515,28.434955191188056,91.77377892030847,46.7866323907455,,,500,389
Step 4,6,json_translation_sentiment_emotion_topic_ner,88.2,86.03723794494006,28.788543083422073,91.83673469387756,33.78684807256236,,,500,441
Step 5,5,json_translation_sentiment_emotion_topic,77.8,94.14240774390515,28.434955191188056,91.77377892030847,46.7866323907455,57.84061696658098,,500,389
Step 5,6,json_translation_sentiment_emotion_topic_ner,88.2,86.03723794494006,28.788543083422073,91.83673469387756,33.78684807256236,30.385487528344672,,500,441
Step 6,6,json_translation_sentiment_emotion_topic_ner,88.2,86.03723794494006,28.788543083422073,91.83673469387756,33.78684807256236,30.385487528344672,51.631792022875345,500,441
