step,task_number,task_name,json_em,bleu_review,em_sentiment,em_emotion,em_topic,f1_ner,bleu_translate,total_samples,valid_json_count
Step 1,1,json_only,98.0,51.41984922297408,,,,,,500,490
Step 1,2,json_sentiment,98.4,66.91074312832855,,,,,,500,492
Step 1,3,json_sentiment_emotion,99.0,76.40636104722202,,,,,,500,495
Step 1,4,json_sentiment_emotion_topic,98.2,80.47797796005186,,,,,,500,491
Step 1,5,json_sentiment_emotion_topic_ner,98.4,85.06719299455227,,,,,,500,492
Step 1,6,json_sentiment_emotion_topic_ner_translation,58.8,78.37395051686255,,,,,,500,294
Step 2,2,json_sentiment,98.4,66.91074312832855,86.1788617886179,,,,,500,492
Step 2,3,json_sentiment_emotion,99.0,76.40636104722202,85.85858585858585,,,,,500,495
Step 2,4,json_sentiment_emotion_topic,98.2,80.47797796005186,86.15071283095723,,,,,500,491
Step 2,5,json_sentiment_emotion_topic_ner,98.4,85.06719299455227,82.3170731707317,,,,,500,492
Step 2,6,json_sentiment_emotion_topic_ner_translation,58.8,78.37395051686255,86.05442176870748,,,,,500,294
Step 3,3,json_sentiment_emotion,99.0,76.40636104722202,85.85858585858585,16.565656565656568,,,,500,495
Step 3,4,json_sentiment_emotion_topic,98.2,80.47797796005186,86.15071283095723,5.295315682281059,,,,500,491
Step 3,5,json_sentiment_emotion_topic_ner,98.4,85.06719299455227,82.3170731707317,3.2520325203252036,,,,500,492
Step 3,6,json_sentiment_emotion_topic_ner_translation,58.8,78.37395051686255,86.05442176870748,4.761904761904762,,,,500,294
Step 4,4,json_sentiment_emotion_topic,98.2,80.47797796005186,86.15071283095723,5.295315682281059,10.79429735234216,,,500,491
Step 4,5,json_sentiment_emotion_topic_ner,98.4,85.06719299455227,82.3170731707317,3.2520325203252036,5.284552845528456,,,500,492
Step 4,6,json_sentiment_emotion_topic_ner_translation,58.8,78.37395051686255,86.05442176870748,4.761904761904762,11.904761904761903,,,500,294
Step 5,5,json_sentiment_emotion_topic_ner,98.4,85.06719299455227,82.3170731707317,3.2520325203252036,5.284552845528456,35.926945697003674,,500,492
Step 5,6,json_sentiment_emotion_topic_ner_translation,58.8,78.37395051686255,86.05442176870748,4.761904761904762,11.904761904761903,34.33668234733147,,500,294
Step 6,6,json_sentiment_emotion_topic_ner_translation,58.8,78.37395051686255,86.05442176870748,4.761904761904762,11.904761904761903,34.33668234733147,9.656527001565582,500,294
