step,task_number,task_name,json_em,bleu_review,bleu_translate,em_sentiment,em_emotion,em_topic,f1_ner,total_samples,valid_json_count
Step 1,1,json_only,96.8,83.73301273740658,,,,,,500,484
Step 1,2,json_translation,92.80000000000001,73.37032730262136,,,,,,500,464
Step 1,3,json_translation_sentiment,95.0,95.1339942382671,,,,,,500,475
Step 1,4,json_translation_sentiment_emotion,95.19999999999999,94.9746952800048,,,,,,500,476
Step 1,5,json_translation_sentiment_emotion_topic,95.19999999999999,94.76687697119,,,,,,500,476
Step 1,6,json_translation_sentiment_emotion_topic_ner,93.60000000000001,94.7389553029086,,,,,,500,468
Step 2,2,json_translation,92.80000000000001,73.37032730262136,42.46792513694975,,,,,500,464
Step 2,3,json_translation_sentiment,95.0,95.1339942382671,43.25121405294484,,,,,500,475
Step 2,4,json_translation_sentiment_emotion,95.19999999999999,94.9746952800048,42.135423396641244,,,,,500,476
Step 2,5,json_translation_sentiment_emotion_topic,95.19999999999999,94.76687697119,40.658542203228414,,,,,500,476
Step 2,6,json_translation_sentiment_emotion_topic_ner,93.60000000000001,94.7389553029086,40.44180509548021,,,,,500,468
Step 3,3,json_translation_sentiment,95.0,95.1339942382671,43.25121405294484,89.05263157894737,,,,500,475
Step 3,4,json_translation_sentiment_emotion,95.19999999999999,94.9746952800048,42.135423396641244,89.28571428571429,,,,500,476
Step 3,5,json_translation_sentiment_emotion_topic,95.19999999999999,94.76687697119,40.658542203228414,90.96638655462185,,,,500,476
Step 3,6,json_translation_sentiment_emotion_topic_ner,93.60000000000001,94.7389553029086,40.44180509548021,89.74358974358975,,,,500,468
Step 4,4,json_translation_sentiment_emotion,95.19999999999999,94.9746952800048,42.135423396641244,89.28571428571429,31.092436974789916,,,500,476
Step 4,5,json_translation_sentiment_emotion_topic,95.19999999999999,94.76687697119,40.658542203228414,90.96638655462185,21.638655462184875,,,500,476
Step 4,6,json_translation_sentiment_emotion_topic_ner,93.60000000000001,94.7389553029086,40.44180509548021,89.74358974358975,1.4957264957264957,,,500,468
Step 5,5,json_translation_sentiment_emotion_topic,95.19999999999999,94.76687697119,40.658542203228414,90.96638655462185,21.638655462184875,38.445378151260506,,500,476
Step 5,6,json_translation_sentiment_emotion_topic_ner,93.60000000000001,94.7389553029086,40.44180509548021,89.74358974358975,1.4957264957264957,3.205128205128205,,500,468
Step 6,6,json_translation_sentiment_emotion_topic_ner,93.60000000000001,94.7389553029086,40.44180509548021,89.74358974358975,1.4957264957264957,3.205128205128205,62.165501831635495,500,468
